fips_state,fips_st_code,event_year,event_month,event_type,injuries_direct,injuries_indirect,death_direct,death_indirect,event_source,episode_narrative
NEW JERSEY,34,2012,July,Flash Flood,0,0,0,0,County Official,"A series of severe thunderstorms produced widespread wind damage.  One of the storms knocked a tree down onto a mobile home, killing one occupant.  Wind speeds up to 110 mph knocked a series of power poles down as well.  Several power outages were reported due to lightning or trees being knocked down onto power lines."
MINNESOTA,27,2012,July,Rip Current,0,0,0,0,Unknown,A thunderstorm produced heavy rain over portions of southern Crook County. Two and a half inches of rain fell in less than 30 minutes south of Keyhole Reservoir.
PUERTO RICO,99,2012,July,Lightning,1,0,0,0,River/Stream Gage,"A severe thunderstorm produced a microburst or straight line wind damage over the south central Texas Panhandle during the late afternoon hours. Another severe thunderstorm over the northeast Texas Panhandle produced hail. There were reports of damage, however no injuries or fatalities were reported."
WISCONSIN,55,2012,July,Flash Flood,0,0,0,0,CoCoRaHS,A line of severe thunderstorms moved through portions of southern middle Tennessee and produced some wind damage.
WISCONSIN,55,2012,July,Flood,0,0,0,0,RAWS,"Very dry, hot, and breezy conditions, along with extremely dry fuels as a result of the long-term drought the region has experienced, promoted the rapid spread of a wildfire near Prue in Osage County on the 3rd. The fire consumed about 700 acres and burned a residence, several outbuildings, and several vehicles before it was suppressed by numerous fire departments, state forestry, and the National Guard."
GEORGIA,13,2012,July,Tornado,0,0,0,0,Airplane Pilot,"Oppressively hot temperatures that had dominated the weather story during the summer continued into the afternoon of August 3. A weak cold front moved to near the I-44 corridor by late afternoon, with temperatures well over 100 degrees on either side of the boundary. Scattered thunderstorms developed near and north of the front by mid afternoon and continued into the early evening. Some damage was reported with strong winds over southwest Oklahoma City."
WASHINGTON,53,2012,July,Funnel Cloud,0,0,0,0,Storm Chaser,"A band of showers and thunderstorms dropped southeast out of northern Indiana during the early morning hours of August the 3rd. A secondary, small line of storms developed behind the initial one. The two wind damage reports received from northern portions of central Indiana came from this secondary line of storms."
KENTUCKY,21,2012,July,Lightning,0,0,0,2,Amateur Radio,"On August 3rd, a nocturnal mesoscale convective system that brought severe weather earlier to Michigan and Indiana continued southward across the Kentucky Bluegrass Region. This system produced scattered damage from winds estimated to range from 55 to 65 mph in and around Lexington during the mid-morning hours."
KENTUCKY,21,2012,July,Lightning,1,0,0,0,AWSS,A severe storm produced hail up to the size of golf balls over central Fremont County.
TEXAS,48,2012,July,Lightning,1,0,0,0,Post Office,A boundary across the area triggered  thunderstorms during the afternoon and evening hours. A few of the storms produced damaging thunderstorm wind.
ARKANSAS,5,2012,July,Excessive Heat,0,0,0,0,Utility Company,"Slow moving thunderstorms produced flash flooding in eastern Las Animas County near Kim, and in Woodland Park in Teller County."
INDIANA,18,2012,July,Flash Flood,0,0,0,0,Buoy,"A strong mid and upper level ridge produced large thickness values over the southeast. These thickness values supported afternoon high temperatures between 100 to 103 degrees inland and mid 90s along the coast. These temperatures in combination with low to mid 70s dewpoints pooling along an afternoon seabreeze, produced dangerous heat indices over portions of southeast South Carolina."
ILLINOIS,17,2012,July,Thunderstorm Wind,2,0,0,0,SNOTEL,A weak cool front became stationary across central Missouri interacting with a very unstable airmass. Isolated strong to severe pulse storms occurred across the Ozarks which produced isolated wind damage.
OKLAHOMA,40,2012,July,Excessive Heat,0,0,0,0,Insurance Company,"Plenty of fuels, extremely dry and hot weather and breezy south winds produced near  critical fire weather conditions in early August.  As a result of these weather conditions, a few smaller size wildfires erupted across West Central Texas."
OKLAHOMA,40,2012,July,Excessive Heat,10,0,0,0,Coast Guard,Small clusters of strong to severe thunderstorms tracked southeast along an instability axis that accompanied a cold front. The cold front moved southeast across southeast Missouri during the evening hours. Northwesterly mid-level winds from 30 to 40 knots contributed to sufficient deep-layer shear for isolated large hail.
VIRGINIA,51,2012,July,Heavy Rain,0,0,0,0,State Official,A strong upper ridge of high pressure moved over the Mid-South during the beginning of August. As a result...very hot temperatures with readings near 100 degrees combined with humid conditions to produce dangerous heat indices between 110 to 120 degrees.  Three deaths occurred as a result.
TEXAS,48,2012,July,Excessive Heat,0,0,1,0,Mariner,Thunderstorms developed during the late afternoon of August 3rd near a weak frontal boundary that was draped across northeastern Oklahoma. There were isolated occurrences of wind damage associated with a few of these storms.
LOUISIANA,22,2012,July,Thunderstorm Wind,0,0,2,0,SHAVE Project,"One of the most active monsoonal days occurred on August 3rd, with heavy rains noted across much of the state.  However, the biggest impact came to the recently burned areas, particularly to the Las Conchas and White Fire burn scars.   Minor flooding was reported across many other locations, including around Abo, Folsom, and Grants. A few storms also reported severe wind gusts in outflow boundaries, including around White Sands Missile Range.  Even a landspout formed in the Albuquerque metro area."
OHIO,39,2012,July,Flood,0,0,0,0,WLON,A weak cold front moving southward through Middle Tennessee spawned numerous large severe thunderstorms that produced several reports of large hail and wind damage.
LOUISIANA,22,2012,July,Tornado,0,0,0,0,Drought Monitor,"A weak cold front moved through the Lower Ohio Valley during the late afternoon hours of August 3, 2011 and triggered a small complex of thunderstorms that eventually moved into northeast parts of West Tennessee during the late evening hours. A few of the storms produced damaging winds and small hail."
NEBRASKA,31,2012,July,Wildfire,3,0,0,0,911 Call Center,A line of convection ahead of a cold front produced severe weather across portions of Indiana during the morning hours. The main threat from these storms was damaging thunderstorm winds.
NEBRASKA,31,2012,July,Wildfire,1,0,0,0,Social Media,A line of convection ahead of a cold front produced severe weather across northern Kentucky during the morning hours. The main threat from these storms was damaging thunderstorm winds.
MISSISSIPPI,28,2012,July,Excessive Heat,0,0,0,0,NPOP,A line of convection ahead of a cold front produced severe weather across parts of Ohio during the morning hours. The main threat from these storms was damaging thunderstorm winds.
NORTH CAROLINA,37,2012,July,Heavy Rain,0,0,0,0,Newspaper,Moist and unstable southerly flow led thunderstorm development with many areas receiving heavy rainfall and isolated severe wind gusts.
WEST VIRGINIA,54,2012,July,Flash Flood,0,0,0,0,Other Federal Agency,"A fire blackened 85 acres of dry brush in Punaluu on the Big Island of Hawaii.  The fire jumped Highway 11, which prompted police to close the road at the 56-mile marker for about six hours.  No injuries were reported.  The cause of the blaze was unknown, and  the costs of damages were unavailable."
MONTANA,30,2012,July,Debris Flow,0,0,0,0,Department of Highways,Severe thunderstorms developed during the early afternoon hours over Madison County. Hail the size of quarters was reported.
FLORIDA,12,2012,July,Rip Current,0,0,0,0,Official NWS Observations,A small mesoscale convective system tracked southeast along an instability axis that accompanied a cold front. The cold front moved southeast across western Kentucky during the evening hours. Northwesterly mid-level winds from 30 to 40 knots contributed to sufficient deep-layer shear for damaging winds with the storm clusters.
SOUTH DAKOTA,46,2012,July,Thunderstorm Wind,3,0,0,0,Mesonet,"Thunderstorms with strong, damaging microburst winds developed across the central deserts during the late afternoon and evening hours on August 3rd. The storms affected much of the greater Phoenix metropolitan area, and brought locally heavy rain as well as winds in excess of 50 mph. The gusty winds also produced areas of dense blowing dust in locations such as Gila Bend."
TEXAS,48,2012,July,Thunderstorm Wind,1,0,0,0,Law Enforcement,"Strong, slow moving thunderstorms produced one to three inches of rain within a two-hour period during the late afternoon, resulting in flash flooding on the north side of Cheyenne."
UTAH,49,2012,July,Lightning,0,0,1,0,NWS Storm Survey,Excessive heat across Northwest Louisiana the afternoon of August 3rd resulted in a heat related death in Bossier Parish.  Afternoon temperatures were near 109 degrees |Wednesday afternoon near Elm Grove where an elderly man was found dead in his home on Fariview Point Road.  His home was found to be un-airconditioned at the time.
OKLAHOMA,40,2012,July,Wildfire,0,0,0,0,Emergency Manager,A very hot airmass with surface temperatures above 105 degrees resulted in a very unstable airmass across Southwest Arkansas. The atmosphere was very dry in the lowest 8 thousand feet and temperatures were just cool enough aloft such that hail was reported with an isolated thunderstorm in Southwest Arkansas.
MICHIGAN,26,2012,July,Rip Current,0,0,1,0,Fire Department/Rescue,A waterspout was observed in association with a towering cumulus cloud line along the north side of the Lower Florida Keys.
FLORIDA,12,2012,July,Rip Current,0,0,2,0,Broadcast Media,"Ambient temperatures near 110 degrees, very low relative humidity values, winds near 10 mph with higher gusts and drought conditions were the ingredients needed for a very large grass fire across Titus County in Northeast Texas.  The fire, nearly 1058 acres in size, was located near the community of Talco, Texas.  The Forest Service was called in to help control the fire.  The fire threatened 17 homes and 75 outbuildings but only one small building was lost.  One fire fighter was taken to a local hospital because of heat exhaustion.  A heavy helicopter was brought in to drop water on the fire."
SOUTH DAKOTA,46,2012,July,Thunderstorm Wind,1,0,0,0,Park/Forest Service,A motorcyclist was struck and killed by lightning as he was driving on Interstate-90 near Wasta.
MISSOURI,29,2012,July,Excessive Heat,8,0,0,0,COOP Observer,A large funnel cloud came more than halfway to the ground over open country between Nathrop and Poncha Springs.
MISSOURI,29,2012,July,Excessive Heat,67,0,0,0,Trained Spotter,A cluster of thunderstorms moved out of eastern Tennessee and across the southwest mountains of North Carolina a little after midnight EDT. The storms caused some wind damage.
IOWA,19,2012,July,Wildfire,1,0,0,0,ASOS,"Very dry, hot, and breezy conditions, along with extremely dry fuels as a result of the long-term drought the region has experienced, promoted the rapid spread of several wildfires on the 3rd around Blanco in Pittsburg County. These fires combined burned at least 1100 acres before numerous fire departments, state forestry, and the National Guard could suppress them."
ARIZONA,4,2012,July,Avalanche,0,0,0,0,AWOS,A convective vorticity maximum in the wind field moved out of western Kansas during the afternoon and helped to ignite thunderstorms during the evening.
COLORADO,8,2012,July,Flood,0,0,0,0,C-MAN Station,"Temperatures in excess of 105 degrees contributed to the death of around 12000 Turkeys on one farm in Carthage, Missouri. Additional losses were reported across southwestern Missouri where temperatures and heat indexes rose past 110 degrees."
NEW JERSEY,34,2012,July,Lightning,2,0,0,0,Public,A boundary across the area triggered isolated thunderstorms during the evening hours.  A few produced damaging thunderstorm winds.
PENNSYLVANIA,42,2012,July,Lightning,0,0,0,0,NWS Employee,"A cluster of strong thunderstorms moved across eastern KY on August 3rd. The only report of severe weather came from Powell county, where a tree was down onto some power lines in Virden."
NEW YORK,36,2012,July,Tornado,0,0,0,0,County Official,Deep subtropical moisture continued across southeast Utah under a light southwest flow aloft that resulted in some thunderstorms with heavy rainfall.
NEVADA,32,2012,July,Debris Flow,0,0,0,0,Unknown,"A MCS interacted with a stalled front across southern Tennessee, enhancing thunderstorms as they pushed southward into north Central Alabama early Thursday morning. These storms resulted in isolated damaging winds during the early morning hours. The front slowly sank southward through the day and interacted with additional impulses rotating around a large area of high pressure anchored west of Alabama. This interaction sparked another round of thunderstorms in the unstable air mass during the afternoon, resulting in isolated damaging winds."
CALIFORNIA,6,2012,July,Lightning,0,0,1,0,River/Stream Gage,"By the afternoon of the 4th, a weak surface boundary set up along a line from Roseau (MN) to Hillsboro to Valley City. Although there was fairly light surface convergence along this line, it did become fairly unstable. Just enough upper level support came along to generate scattered thunderstorms."
ST LAWRENCE R,93,2012,July,Marine Thunderstorm Wind,0,0,0,0,CoCoRaHS,"An outflow boundary generated from thunderstorms that occurred overnight across northeast parts of West Tennessee pushed south into a very unstable airmass during the afternoon and early evening hours on August 4, 2011. Thunderstorms developed across southeast parts of West Tennessee and much of Northeast Mississippi with numerous reports of damaging winds."
NEW MEXICO,35,2012,July,Lightning,0,0,0,0,RAWS,Increasing moisture and favorable upper level flow allowed for isolated to scattered afternoon and evening thunderstorms. A few of the storms produced strong winds.
MAINE,23,2012,July,Tornado,0,0,0,0,Airplane Pilot,"A very hot and humid atmosphere was present over southeast South Carolina before convective initiation occurred along a residual outflow boundary over the area and a lee side trough inland. Sbcapes near 5,000 j/kg, LIs around -9C and dcapes near 1300 j/kg supported strong pulse type thunderstorms with strong winds."
MASSACHUSETTS,25,2012,July,Tornado,0,0,0,0,Storm Chaser,Severe storms produced wind gusts up to 66 mph over portions of Kiowa and Prowers Counties.
NEW MEXICO,35,2012,July,Dust Storm,0,0,0,0,Amateur Radio,"A hot humid air mass led to a few strong to severe storms that moved over portions of central Mississippi during the late afternoon and early evening hours of August fourth, fifth and early in the evening of the sixth. These storms produced thunderstorm wind damage, as well as minor damage from outflow winds. A lightning strike was reported at Dogwood Festival in Flowood, MS on the fifth. No significant injuries were reported. An indirect fatality occurred in Webster County around 545 am on the fifth when a car collided with a fallen tree on the Natchez Trace Parkway just north of Highway 82."
PENNSYLVANIA,42,2012,July,Lightning,1,0,1,0,AWSS,Scattered thunderstorms developed during the afternoon hours along a weak cold front over northeast Georgia and western South Carolina. One storm produced a little wind damage.
NEVADA,32,2012,July,Tornado,0,0,0,0,Post Office,"A strong mid and upper level ridge produced large thickness values over the southeast. These thickness values supported afternoon high temperatures in the upper 90s to low 100s inland and mid 90s along the coast. These temperatures in combination with low to mid 70s dewpoints pooling along an afternoon seabreeze, produced dangerous heat indices over portions of southeast South Carolina."
ILLINOIS,17,2012,July,Heat,0,0,1,0,Utility Company,"Thunderstorms developed south of a weak frontal boundary that extended across southeastern Oklahoma. A few of these thunderstorms became severe, resulting in large hail and damaging winds over parts of southeast Oklahoma."
KANSAS,20,2012,July,Wildfire,0,0,0,0,Buoy,Isolated thunderstorms occurred during the early morning of August 4th over parts of west-central Arkansas along a weak frontal boundary. One thunderstorm resulted in significant wind damage along the river east of Fort Smith.
TENNESSEE,47,2012,July,Heat,0,0,2,0,SNOTEL,"A line of thunderstorms developed from the southern Nebraska panhandle into central Nebraska on the afternoon of August 4th and remained fairly stationary before evolving into a north to south oriented line of storms and progressing into eastern Nebraska. Heavy rains were produced from these thunderstorms, with amounts exceeding 3.00 inches in portions of Arthur and McPherson counties.  These heavy rains caused flash flooding in the city of Arthur."
NORTH CAROLINA,37,2012,July,Rip Current,0,0,1,0,Insurance Company,An upper level trough moved into the region and interacted with monsoonal moisture to produce thunderstorms.
ILLINOIS,17,2012,July,High Wind,0,0,0,0,Coast Guard,"Severe Thunderstorm Watch number 728 was in effect for this event. Two separate severe storms formed during this event. The first storm impacted Golden Valley County in southwest North Dakota producing severe thunderstorm wind gusts, and the second storm impacted McLean County in central North Dakota with a report of large hail.  Both storms developed near a surface boundary and were supported by a short wave upper trough over south central Canada."
KENTUCKY,21,2012,July,Lightning,0,0,1,0,State Official,A continued heat wave and drought conditions made conditions favorable for wildfires during the first part of August. A wildfire 5 miles southeast of Hermitage in Bradley County burned 308 acres on the 4th and 5th.
NEW JERSEY,34,2012,July,Thunderstorm Wind,1,0,0,0,Mariner,"An upper level vorticity maximum, the remnants of former tropical storm Don, moved into Iowa during the afternoon.  Two areas of thunderstorms developed.  One was across southern Iowa, closer to the center of the system.  Conditions were more favorable in this area with CAPE values around 4000 J/kg and lifted indices around -5 C.  The freezing level was near 16,000 feet, limiting the production of hail.  With precipitable water values around 2.2 inches over southern Iowa, the thunderstorms that formed produced heavy rainfall.  Over northwest Lucas County, rainfall of 3 to 5 inches occurred in about 2 hours.  Fortunately, antecedent soil conditions were very dry and the rain caused little problems.  Over northeast Iowa, a small cluster of storms formed in the Waterloo area.  Numerous reports of funnel clouds were received just north of the Waterloo Airport.  Though they extended about half way to the ground, there was no circulation at ground level.  The storms were clearly not supercells and the funnel clouds would have produced no more than landspouts."
PENNSYLVANIA,42,2012,July,Heat,0,0,1,0,SHAVE Project,Late afternoon and early evening thunderstorms produced a few reports of large hail and strong winds in Sioux and Box Butte counties.
NEW YORK,36,2012,July,Lightning,0,0,0,1,WLON,"Ambient afternoon temperatures near 110 degrees, low afternoon relative humidity values near 20 percent and gusty winds of 15 to 20 mph combined with excessive drought conditions resulted in very high fire danger across Franklin County in Northeast Texas.  A 661 acre woodland and grass fire broke out in Franklin County on August 4th near the Midway Cemetery.  No structures were consumed in this fire."
NEW YORK,36,2012,July,Lightning,1,0,0,0,Drought Monitor,Convection began to develop along a pinned seabreeze. A small cluster of nearly stationary thunderstorms eventually organized. A gust front emanating from the north side of this cluster produced isolated tree damage.
NEW JERSEY,34,2012,July,Thunderstorm Wind,3,0,0,0,911 Call Center,"A total of 1068 acres burned in Franklin County near the Midway Cemetery on CR 2110.  All four Franklin County Fire Departments including eight neighboring departments and crews from the Texas Forest Service were called out to battle the blaze.  At various times, 46 trucks and equipment were called out including 3 EMS units.  Several residents were evacuated.  The only structure damaged was a travel trailer."
ARKANSAS,5,2012,July,Heavy Rain,0,0,0,0,Social Media,"Ambient temperatures around 108 degrees with heat index values around 115 degrees resulted in a heat related fatality in Bossier Parish.  A 72 year old man was found in his house deceased.  A small air conditioner was running in his house but the air temperature in his house was 106 degrees when he was found.  His house was in Haughton, Louisiana."
PENNSYLVANIA,42,2012,July,Thunderstorm Wind,3,0,0,0,NPOP,Scattered thunderstorms developed during the afternoon hours along a weak cold front over northeast Georgia and western South Carolina. A few of the storms produced wind damage.
PENNSYLVANIA,42,2012,July,Thunderstorm Wind,0,0,1,0,Newspaper,"Afternoon temperatures on August 4th were near 110 degrees about the time a 17 car train derailed near Mineola, Texas.  The accident occurred near CR 2790 and FM 1804. Wood County officials blamed the heat for warping the metal train tracks.  There were no report of injuries."
PENNSYLVANIA,42,2012,July,Thunderstorm Wind,1,0,1,0,Other Federal Agency,Low pressure and warm and moist conditoins at the surface supported moderate instability to produce severe thunderstorms.
PENNSYLVANIA,42,2012,July,Flood,0,0,0,0,Department of Highways,Thunderstorms developed across portions of southwest Alabama and produced damaging winds that caused minor damage.
LAKE MICHIGAN,91,2012,July,Waterspout,0,0,0,0,Official NWS Observations,Strong thunderstorms developed during the late evening and produced strong winds.
ILLINOIS,17,2012,July,Wildfire,0,0,0,0,Mesonet,"A strong mid and upper level ridge produced large thickness values over the southeast. These thickness values supported afternoon high temperatures in the upper 90s to low 100s inland and mid 90s along the coast. These temperatures in combination with low to mid 70s dewpoints pooling along an afternoon seabreeze, produced dangerous heat indices over portions of southeast Georgia."
ILLINOIS,17,2012,July,Rip Current,0,0,1,0,Law Enforcement,An upper level trough combined with daytime heating to produce thunderstorms across central Oregon.
LAKE ERIE,95,2012,July,Waterspout,0,0,0,0,NWS Storm Survey,"Very hot conditions resulted in the death of a landscaper in Pearland, TX."
RHODE ISLAND,44,2012,July,Flood,0,0,0,0,Emergency Manager,"A sagging front with rich moisture behind it and an upper level short wave trough produced thunderstorms during the evening, a few of which became severe."
OKLAHOMA,40,2012,July,Excessive Heat,20,0,0,0,Fire Department/Rescue,One inch hail was reported in Fort Hall and American Falls.
RHODE ISLAND,44,2012,July,Flash Flood,0,0,0,0,Broadcast Media,"Outflow from thunderstorms earlier in the day over Nebraska helped trigger new storms during the afternoon over Rawlins county. As the afternoon progressed, storms increased in coverage, and more storms moved into the region from eastern Colorado. Most reports from the public and spotters were for heavy rainfall and isolated hail, but one heavy rain event led to damage as a police car had to be abandoned due to high water in Colby."
CONNECTICUT,9,2012,July,Flood,0,0,0,0,Park/Forest Service,An isolated severe thunderstorm over the lower Midlands produced some wind damage by taking some trees down.
GEORGIA,13,2012,July,Funnel Cloud,0,0,0,0,COOP Observer,Lightning struck Mohave Point on the South Rim of the Grand Canyon.  One park visitor was killed and five others were injured.
UTAH,49,2012,July,Lightning,1,0,0,0,Trained Spotter,Isolated storms developed over the area during the late morning and early afternoon hours. Some damaging winds were reported.
CALIFORNIA,6,2012,July,Flood,5,0,0,0,ASOS,"A slow moving thunderstorm complex affected the western North Carolina piedmont during the late morning and afternoon hours. Rainfall amounts of 4 to 7 inches were reported, resulting in flash flooding in a number of locations."
COLORADO,8,2012,July,Lightning,0,0,0,0,AWOS,Surface low pressure over southwest North Dakota combined with a lead short wave impulse to trigger thunderstorms across southwest and south central North Dakota through the afternoon hours and into the evening of August 5th. Severe Thunderstorm Watch number 729 and 731 were in effect for this event. One particularly strong bowing storm produced most of the large hail and high wind reports as it tracked from west of Dickinson across Morton and Burleigh counties before weakening.
FLORIDA,12,2012,July,Thunderstorm Wind,1,0,0,0,C-MAN Station,A complex of strong to severe thunderstorms produced 50 to 60 mph winds over portions of central Kansas during the predawn hours on the 5th. A lone thunderstorm also produced 60 mph winds over southeast Kansas near Cedar Vale in Chautauqua county.
TENNESSEE,47,2012,July,Heavy Rain,0,0,0,0,Public,A severe thunderstorm moved across the northwest Texas Panhandle during the early evening hours producing strong thunderstorm wind gusts. There were no reports of damage or injuries.
ALABAMA,1,2012,July,Flood,0,0,0,0,NWS Employee,Weak low pressure brought tropical moisture into the area during the morning of August 5th.  A slow moving cold front touched off heavy thunderstorms with locally very heavy rain as it approached the Minnesota Iron Range that afternoon and evening.
CALIFORNIA,6,2012,July,Dust Storm,0,0,0,0,County Official,"Scattered thunderstorms developed along an outflow boundary located over northern Oklahoma. Strong wind gusts produced some damage over Garfield county. Later in the evening, a complex of thunderstorms moved east over Kansas. The southern edge of the complex moved over the northern tier of counties in Oklahoma. Although much of the significant weather remained north of the border, a wind gust near 60 mph was reported near Alva."
NEW YORK,36,2012,July,Wildfire,0,0,0,0,Unknown,"Severe thunderstorms moved across the western and central Oklahoma Panhandle during the early evening hours producing hail and strong thunderstorm wind gusts. The thunderstorm wind gusts did result in damage, however no injuries or fatalities were reported."
MISSISSIPPI,28,2012,July,Lightning,1,0,0,0,River/Stream Gage,"Abundant moisture, favorable monsoonal flow, and an outflow boundary from Sonora, Mexico allowed for isolated to scattered showers and thunderstorms along the International Border. A few storms produced strong winds."
ARIZONA,4,2012,July,Flash Flood,1,0,0,0,CoCoRaHS,"A line of severe thunderstorms developed over northern Campbell County and moved eastward across Crook County, producing quarter sized hail and gusty winds."
INDIANA,18,2012,July,Hail,3,0,0,0,RAWS,Thunderstorms moving across northern Tripp County produced wind gusts to 60 mph near Hamill.
INDIANA,18,2012,July,Thunderstorm Wind,1,0,0,0,Airplane Pilot,Wind gusts over 60 mph were recorded from a severe thunderstorm over northeastern Jackson County.
PENNSYLVANIA,42,2012,July,Lightning,3,0,0,0,Storm Chaser,A supercell thunderstorm developed over central Custer County and moved southeastward into Shannon County. The storm produced large hail and eventually strong wind gusts as it crossed Shannon County.
ILLINOIS,17,2012,July,Tornado,0,0,0,0,Amateur Radio,Severe thunderstorms moved from southeastern Montana and produced strong wind gusts in western Harding County before weakening.
CALIFORNIA,6,2012,July,Thunderstorm Wind,0,0,0,0,AWSS,A severe thunderstorm developed across eastern Perkins County and produced strong wind gusts southeast of Meadow.
MICHIGAN,26,2012,July,Thunderstorm Wind,0,0,2,0,Post Office,A storm produced hail up to the size of nickels.
FLORIDA,12,2012,July,Lightning,0,2,0,0,Utility Company,A line of severe thunderstorms developed over northern Butte County and moved east-southeastward across northwestern South Dakota. Strong wind gusts were reported with the storms.
TEXAS,48,2012,August,Drought,0,0,0,0,Buoy,Large hail accompanied a thunderstorm that briefly became severe across southern Butte County.
MISSOURI,29,2012,August,Heat,41,0,0,0,SNOTEL,Afternoon heating along  a boundary triggered isolated thunderstorms.  One of the thunderstorms produced damaging thunderstorm winds.
TENNESSEE,47,2012,August,Thunderstorm Wind,0,0,0,0,Insurance Company,Scattered thunderstorms moved across Middle Tennessee during the day on August 5th. One thunderstorm became severe and produced wind damage just west of downtown Nashville.
TENNESSEE,47,2012,August,Flash Flood,0,0,0,0,Coast Guard,"A typical summer pattern remained in place across the southern U.S.  A broad subtropical ridge, anchored across the Arklatex region, was in control of the weather across the southern states.  A west-to-east quasi-stationary frontal system stretched across north Georgia westward into the mid-south.  A hot, humid, unstable air mass remained across the region.  Numerous convective outflow boundaries were evident across the region from previous day and overnight thunderstorm activity in various areas throughout the region.  Thus, it was no surprise that isolated to scattered afternoon and evening thunderstorms were once again the rule.  One of these in Madison county of northeast Georgia briefly became severe and produced damaging wind gusts along with pea-sized hail."
VIRGINIA,51,2012,August,Hail,0,0,0,0,State Official,"A thunderstorm slowing moving to the northeast, dropped significant amounts of rain between Ruidoso and Glencoe.  The most significant precipitation missed the White Fire burn scar to the south, though, up to an inch of rain may have impacted the scar itself. The worst flooding was within the town of Ruidoso Downs, rather than downstream of the White Fire burn scar.  Other flash flooding was reported downstream of the Las Conchas burn scar. A creek with rushing water and debris went out of its banks near Dixon Apple Orchard.  This was not the first time water and debris had filled the creek, but it is the first time the creek overflowed."
TENNESSEE,47,2012,August,Hail,0,0,0,0,Mariner,Thunderstorms produced damaging winds from Chamberlain to near White Lake on the late evening of August 5th.
MISSOURI,29,2012,August,Thunderstorm Wind,0,0,0,0,SHAVE Project,Heavy rain from thunderstorms produced flash flooding and debris flows across the northern portion of the Wallow Fire area.
NEW MEXICO,35,2012,August,Drought,0,0,0,0,WLON,"A continued heat wave and drought conditions made conditions favorable for wildfires during the first part of August. A wildfire began along Interstate 40 about 3 miles south of Conway in Faulkner County on the 5th. The fire eventually burned a 2 mile stretch of grass along the interstate and spread westward almost to Arkansas 365. The fire also burned five vacant mobile homes, four of which were in a trailer park on Langley Trail."
NORTH CAROLINA,37,2012,August,Thunderstorm Wind,0,0,0,0,Drought Monitor,"The airmass was quite similar to the previous day.  The shear was weak, around 30 kts, with about 2000 J/kg of CAPE available and a lifted index around -3 C.  There was plenty of water available within the deep warm cloud layer.  Precipitatable water values were around 2.25 inches over southern Iowa.  A weak upper level shortwave moved across the state during the afternoon.  This produced scattered thunderstorms.  Though not severe, one of the storms produced a funnel cloud north of Creston, in Union County, during the mid afternoon hours."
MISSOURI,29,2012,August,Heat,0,0,0,0,911 Call Center,Scattered thunderstorms developed along the seabreeze boundary. A waterspout briefly formed over the Manatee River as a thunderstorm was developing.
MISSOURI,29,2012,August,Drought,0,0,0,0,Social Media,"Ambient temperatures around 105 degrees in the afternoon, southwest winds near 10 mph with gusts approaching 20 mph, and very low relative humidity values combined with severe drought conditions across Southwest Arkansas.  A wildfire started in Howard County 3 miles west of Mineral Springs and burned 181 acres.  A firefighting place crashed near Hot Springs, Arkansas on route to the fire.  The pilot was not killed but seriously injured."
KANSAS,20,2012,August,Heat,0,0,0,0,NPOP,"For the second day in a row, a persistent weak frontal boundary lingered over east central North Dakota into northwest Minnesota. With surface heating during the early part of the day, scattered thunderstorms formed in the afternoon along the boundary over northwest Minnesota."
IOWA,19,2012,August,Drought,0,0,0,0,Newspaper,The sea breezes and outflow boundaries fueled isolated strong storms over an unstable air mass across northeast Florida during the late afternoon. Dry air aloft also likely aided in entrainment and cooling of down draft air.
KENTUCKY,21,2012,August,Drought,0,0,0,0,Other Federal Agency,A collision of the east and west coast sea breezes sparked storms in Lake County. One of the storms spawned a waterspout over Lake Eustis which briefly moved on land and caused damage to three residential properties.
INDIANA,18,2012,August,Drought,0,0,0,0,Department of Highways,"Ambient afternoon temperatures near 108 degrees, low afternoon relative humidity values near 20 percent and gusty winds of 15 to 20 mph combined with excessive drought conditions resulted in very high fire danger across Rusk County in Northeast Texas.  A 128 acre woodland and grass fire broke out in Rusk County on August 5th near the Rim Fire Ranch.  No structures were burned with this fire."
NEBRASKA,31,2012,August,Thunderstorm Wind,0,0,0,0,Official NWS Observations,"Scattered thunderstorms across the Midlands produced a few severe weather events, mostly taking down trees across the area."
SOUTH DAKOTA,46,2012,August,Drought,0,0,0,0,Mesonet,"Very hot weather continued on the 5th through the 8th, and a weak, nearly stationary front was located across northern Arkansas. A few severe thunderstorms resulted each afternoon and evening."
TENNESSEE,47,2012,August,Drought,0,0,0,0,Law Enforcement,"Plentful moisture, a surface low pressure system, and a frontal boundary combined with a moderately-unstable air mass to produce efficient and severe thunderstorms."
ILLINOIS,17,2012,August,Drought,0,0,0,0,NWS Storm Survey,A few storms developed over extreme northeast Georgia during the late afternoon hours. One of the storms produced wind damage.
DELAWARE,10,2012,August,Drought,0,0,0,0,Emergency Manager,"Very dry, hot, and breezy conditions, along with extremely dry fuels as a result of the long-term drought the region has experienced, promoted the rapid spread of a wildfire near Gravette and Maysville on the 5th. The fire burned two chicken houses, a barn and a vehicle. One of the fireman fighting the fire was transported to a local hospital with heat exhaustion. Local fire departments, Arkansas State Forestry, and the National Guard battled this wildfire that burned at least 900 acres before it was controlled."
